name	taxid
Capuchin monkey hepatitis B virus	2163996
Ground squirrel hepatitis virus	10406
Hepatitis B virus	10407
Long-fingered bat hepatitis B virus	2050037
Pomona bat hepatitis B virus	2049933
Roundleaf bat hepatitis B virus	1508710
Tent-making bat hepatitis B virus	1508712
Woodchuck hepatitis virus	35269
Woolly monkey hepatitis B virus	68416
Rana hepevirus	2185281
Orthohepevirus A	1678143
Orthohepevirus B	1678144
Orthohepevirus C	1678145
Orthohepevirus D	1678146
Piscihepevirus A	1678147
Caviid betaherpesvirus 2	33706
Chelonid alphaherpesvirus 6	702738
Eptesicus fuscus gammaherpesvirus	2035399
Equid gammaherpesvirus 7	291612
Felis catus gammaherpesvirus 1	1452540
Myotis gammaherpesvirus 8	1780507
Phocid gammaherpesvirus 2	47419
Rhinolophus gammaherpesvirus 1	2054179
Tupaiid betaherpesvirus 1	10397
Aotine betaherpesvirus 1	50290
Cebine betaherpesvirus 1	1125844
Cercopithecine betaherpesvirus 5	50292
Cynomolgus cytomegalovirus	1919083
Human betaherpesvirus 5	10359
Macacine betaherpesvirus 3	47929
Panine betaherpesvirus 2	188763
Saimiriine betaherpesvirus 4	1535247
Gallid alphaherpesvirus 1	10386
Psittacid alphaherpesvirus 1	50294
Callitrichine gammaherpesvirus 3	106331
Gorilline gammaherpesvirus 1	159604
Human gammaherpesvirus 4	10376
Macacine gammaherpesvirus 4	45455
Panine gammaherpesvirus 1	159602
Papiine gammaherpesvirus 1	106332
Pongine gammaherpesvirus 2	159603
Alcelaphine gammaherpesvirus 1	35252
Alcelaphine gammaherpesvirus 2	138184
Bovine gammaherpesvirus 6	1504288
Caprine gammaherpesvirus 2	135102
Hippotragine gammaherpesvirus 1	333341
Ovine gammaherpesvirus 2	10398
Suid gammaherpesvirus 3	1960249
Suid gammaherpesvirus 4	1960250
Anatid alphaherpesvirus 1	104388
Columbid alphaherpesvirus 1	93386
Gallid alphaherpesvirus 2	10390
Gallid alphaherpesvirus 3	35250
Meleagrid alphaherpesvirus 1	37108
Sphenicid alphaherpesvirus 1	2169402
Murid betaherpesvirus 1	10366
Murid betaherpesvirus 2	28304
Murid betaherpesvirus 8	1261657
Equid gammaherpesvirus 2	12657
Equid gammaherpesvirus 5	10371
Mustelid gammaherpesvirus 1	311179
Elephant endotheliotropic herpesvirus 4	548914
Elephant endotheliotropic herpesvirus 5	768738
Elephantid betaherpesvirus 1	146015
Ateline gammaherpesvirus 2	10380
Ateline gammaherpesvirus 3	85618
